Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2013-01-02,116.29171752929688,116.36337184176837,115.23278147674483,115.53533810573599,192059000
2013-01-03,116.02899169921875,116.5385538075431,115.71847747928545,116.2360092784536,144761800
2013-01-04,116.5385513305664,116.72964167297111,115.98121968470109,116.22007957547729,116817700
2013-01-07,116.22006225585938,116.33152856842123,115.7901120867515,116.12452317335402,110002500
2013-01-08,115.88565063476562,116.17227999982768,115.43181574470258,116.01304416344111,121265100
2013-01-09,116.18024444580078,116.4987282864216,115.95731183182437,116.14043244710865,90745600
2013-01-10,117.1038589477539,117.11181648993637,116.22008580872553,116.82518703541584,130735400
2013-01-11,117.09583282470703,117.1595174227066,116.72957956719213,117.07193591431688,113917300
2013-01-14,117.01625061035156,117.09587460963273,116.58630045249984,116.95255384070995,89567200
2013-01-15,117.09583282470703,117.20729909457465,116.40313829511115,116.47479257954485,93172600
2013-01-16,117.07991790771484,117.26303848126506,116.72959183733111,116.85698534454585,104849500
2013-01-17,117.83635711669922,118.1707561317276,117.15958939531247,117.59749720627332,133833500
2013-01-18,118.09903717041016,118.22643067277376,117.38245783129972,117.8124078645486,169906000
2013-01-22,118.73604583740234,118.73604583740233,117.82041829563917,118.09909018854937,111797300
2013-01-23,118.92713928222656,119.03064808125599,118.52108592659738,118.73606106730463,104596100
2013-01-24,118.95895385742188,119.54017014776359,118.6404700244897,118.75193632878695,146426400
2013-01-25,119.62776184082031,119.62776184082031,118.92710949779301,119.33317490064613,147211600
2013-01-28,119.48445129394531,119.691456687912,119.03857389715144,119.65960222796829,113357700
2013-01-29,119.95423126220703,120.10550961241832,119.16599719217346,119.2456212129962,105694400
2013-01-30,119.48445129394531,120.17713393626025,119.37297283305922,119.93827408234988,137447700
2013-01-31,119.18984985351562,119.73126632160452,119.11023800306378,119.34112816296572,108975800
2013-02-01,120.41596221923828,120.55927080466142,119.73919483541478,119.94620017510833,131173000
2013-02-04,119.06244659423828,120.43986634758154,118.9748650616495,119.68348701099598,159073600
2013-02-05,120.26472473144531,120.60708123422307,119.6596114351233,119.70739312871537,113912400
2013-02-06,120.35233306884766,120.43194494471972,119.75518932966514,119.84277089736872,138762800
2013-02-07,120.19306945800781,120.50358364483773,119.31725398288873,120.39211732517873,162490000
2013-02-08,120.86186981201172,120.93352412989725,120.40007729299735,120.40007729299735,103133700
2013-02-11,120.83795928955078,120.94145589924719,120.53540270217208,120.81407452201196,73775000
2013-02-12,121.0370101928711,121.25994279483977,120.7105688296614,120.84591989879125,65392700
2013-02-13,121.14053344726562,121.50678688757209,120.79817692927591,121.28385423657453,82322600
2013-02-14,121.25196838378906,121.39528913599595,120.6389098267098,120.77426089056814,80834300
2013-02-15,121.10869598388672,121.49086452248929,120.66283066403061,121.36347095998217,215226500
2013-02-19,122.01629638671875,122.0401811498243,121.14845093011516,121.31564427185408,95105400
2013-02-20,120.49557495117188,121.96853355101612,120.43187819642532,121.9287215606853,160574800
2013-02-21,119.76313018798828,120.55932172931163,119.38096164985033,120.19308042369742,183257000
2013-02-22,120.9334945678711,120.9334945678711,119.8188316212921,120.3443086395851,106356600
2013-02-25,118.63253021240234,121.70582980319043,118.63253021240234,121.52270916496222,245824800
2013-02-26,119.44466400146484,119.5879726541054,118.41757006186351,119.20580409814458,186596200
2013-02-27,120.94941711425781,121.28381598528925,119.23759861743882,119.34110736879896,150781900
2013-02-28,120.71050262451172,121.71369878315552,120.55126687457113,120.94139263958922,126866000
2013-03-01,121.10869598388672,121.29181663691647,119.75517279177527,120.29657720905233,170634800
2013-03-04,121.7535400390625,121.7535400390625,120.63887737249787,120.82995545881644,99010200
2013-03-05,122.8443603515625,123.17080172692908,122.32684082391587,122.34276805291124,121431900
2013-03-06,123.01153564453125,123.34593447773419,122.7408335627355,123.282237726327,94469900
2013-03-07,123.2345199584961,123.39375582943659,123.02751454116526,123.17082318033624,86101400
2013-03-08,123.75997924804688,123.92717261985948,123.1389509977696,123.77590647595316,123477800
2013-03-11,124.22981262207031,124.23777016690909,123.5132448210322,123.66452321543264,83746800
2013-03-12,123.95106506347656,124.28547612564215,123.57686630136939,124.14215536344032,105755800
2013-03-13,124.12628173828125,124.30144488499629,123.5928347547114,124.01481538572817,92550900
2013-03-14,124.78704071044922,124.84277992473785,124.13417025782124,124.45264187145732,126329900
2013-03-15,124.62232971191406,124.79026672047422,124.20646535246621,124.63832778037958,138601100
2013-03-18,123.9345474243164,124.47036673895332,123.318749977904,123.43071204061994,126704300
2013-03-19,123.64669036865234,124.36644501720662,122.83095948479104,124.19850796058928,167567300
2013-03-20,124.5103759765625,124.7183020687351,124.16648459775412,124.37442289287831,113759300
2013-03-21,123.44673919677734,124.47039606938206,123.23881308929442,123.76662739335913,128605000
2013-03-22,124.43840789794922,124.43840789794922,123.74263217947531,123.83860839754706,111163600
2013-03-25,123.91854858398438,124.97420134267436,123.43871640517492,124.76626308253567,151322300
2013-03-26,124.91026306152344,124.9422470029631,124.29446541296605,124.43041851925338,86856600
2013-03-27,124.91026306152344,124.95025214053823,123.95857911455845,124.16650524130021,99950600
2013-03-28,125.29409790039062,125.43805610579366,124.55834541430383,124.83025155423692,102932800
2013-04-01,124.79830169677734,125.48607236983828,124.49439933802024,125.23015202499994,99194100
2013-04-02,125.41411590576172,125.72601124036288,125.05422634795202,125.24616663192018,101504300
2013-04-03,124.1424789428711,125.58199995749614,123.81459787524969,125.48603595750453,154167400
2013-04-04,124.64628601074219,124.89420108965783,124.03048867724542,124.30239475070468,131885000
2013-04-05,124.08650207519531,124.23845320811223,122.97487434847949,123.11882034622184,159666000
2013-04-08,124.9262466430664,124.93423957676079,123.75863156722048,124.17449597541999,86571200
2013-04-09,125.35810852050781,125.81396204527272,124.74231088638716,125.1581753330748,101922200
2013-04-10,126.89360046386719,127.0535445814515,125.6620173352186,125.69400127755388,135711100
2013-04-11,127.30943298339844,127.72529734711884,126.78959947801019,126.91755962114738,110142500
2013-04-12,126.9975814819336,127.18950955976224,126.29381265534829,126.90160524006417,116359900
2013-04-15,124.0544662475586,126.46166819848989,124.03848038822429,126.3576990980867,217259000
2013-04-16,125.88593292236328,125.94991300560777,124.68633381817371,124.99022395989361,147507800
2013-04-17,124.04645538330078,125.01413666274502,123.38267622851487,124.99013347132184,226834800
2013-04-18,123.27079010009766,124.28645398174207,122.79895076562295,124.25445784211054,167583200
2013-04-19,124.34243774414062,124.39842489099235,123.25480077558184,123.55870310888511,149687600
2013-04-22,124.89427185058594,125.19016908623433,123.75865272131034,124.58237654186203,106553500
2013-04-23,126.18181610107422,126.3017711169755,124.89424605094278,125.518036539533,166141300
2013-04-24,126.26177978515625,126.59766599415975,125.98986144200549,126.22179071678552,96781200
2013-04-25,126.77365112304688,127.37345074315579,126.43776480014043,126.6296928686844,131060600
2013-04-26,126.54966735839844,126.83757152869232,126.14179599876196,126.62164035023471,95918800
2013-04-29,127.39741516113281,127.67731427032328,126.69364651548462,126.89357968045722,88572800
2013-04-30,127.70130157470703,127.7332977138289,126.84559399894695,127.37342046789333,116010700
2013-05-01,126.5816879272461,127.485389762826,126.43774190190716,127.42140968391348,138874200
2013-05-02,127.75727081298828,127.86923287832143,126.78159615667815,126.90155115419583,96407600
2013-05-03,129.05287170410156,129.46074322199587,127.78129954315071,128.86893658594633,144202300
2013-05-06,129.38070678710938,129.5646418224138,129.0928026347882,129.14878976024275,66882100
2013-05-07,130.03652954101562,130.0765064098537,129.29277185517554,129.66065423150692,90359200
2013-05-08,130.6282958984375,130.6682849616632,129.82057051425272,129.89254350628974,97419200
2013-05-09,130.260498046875,130.91627267626677,129.93260463070135,130.57239338829604,106738600
2013-05-10,130.68434143066406,130.7963035359629,129.96457457978215,130.34845511476755,103203000
2013-05-13,130.78823852539062,131.00416970210108,130.2124423924105,130.5163324231322,81843200
2013-05-14,132.13983154296875,132.23580776565836,130.89225047457765,130.89225047457765,119000900
2013-05-15,132.8515625,133.1154756963166,131.88389298312228,131.9238820497672,120718500
2013-05-16,132.227783203125,133.0435138599081,132.02785005607674,132.57966749440206,109913600
2013-05-17,133.5073699951172,133.58733593801767,132.53968812329296,132.71563028180645,129801000
2013-05-20,133.49937438964844,134.01920796889678,133.2434662699645,133.37941936525795,85071200
2013-05-21,133.6913604736328,134.1951961547406,133.15554084270468,133.61938743431938,95804200
2013-05-22,132.69964599609375,135.21081848245896,132.09185351451893,133.82727207380174,244031800
2013-05-23,132.31578063964844,132.6836630728156,131.10818858392852,131.28413076462326,211064400
2013-05-24,132.20379638671875,132.259783527081,131.14015054639748,131.5320239200794,151573900
2013-05-28,132.9955291748047,134.17912996463298,132.60365582143118,133.5873234682435,143679800
2013-05-29,132.13180541992188,132.59565173706204,131.42803691075065,132.2917494802927,160363400
2013-05-30,132.61964416503906,133.2274364821775,132.13180684373395,132.23577597542268,107793800
2013-05-31,130.71630859375,133.00354462520377,130.4604004728982,132.25179392771892,176850100
2013-06-03,131.43605041503906,131.52402148428712,130.08450044338707,131.0201860692345,168390700
2013-06-04,130.80422973632812,132.03582446922547,130.14045037822464,131.50799815512661,157631500
2013-06-05,128.9728546142578,130.6922744870591,128.86089256025608,130.42836131628033,211737800
2013-06-06,130.14044189453125,130.14844702791723,128.15710908341964,128.91685237530598,200225500
2013-06-07,131.7959747314453,131.915929776499,130.46841528572878,131.03623097254408,188337800
2013-06-10,131.7959747314453,132.2758071146149,131.45208326403343,132.20383408758266,105667100
2013-06-11,130.43638610839844,131.58799075042273,130.14848189715474,130.59633018065594,159505400
2013-06-12,129.35678100585938,131.46807511962973,129.2368259664792,131.33212200734746,177361500
2013-06-13,131.32408142089844,131.5559984805328,128.99685687773245,129.28476107073186,163587800
2013-06-14,130.50045776367188,131.6920646251493,130.28453858572863,131.18023586509085,141197500
2013-06-17,131.50808715820312,132.13187787778557,130.53241199107032,131.3881198949257,136295600
2013-06-18,132.54769897460938,132.74763214490855,131.57202412731317,131.5800170610623,114695600
2013-06-19,130.71630859375,132.6676583524249,130.6603336497632,132.43574123656066,206149500
2013-06-20,127.4773941040039,130.7323122190733,127.14150781695442,129.4447420172403,321255900
2013-06-21,127.88660430908203,128.44132935930378,126.6002565500393,128.34485757100808,271956800
2013-06-24,126.27066040039062,127.37208782227786,125.20138616028152,126.55205287792838,222329000
2013-06-25,127.48464965820312,128.7147142943063,126.56008317342018,127.41228353385515,162262200
2013-06-26,128.74684143066406,129.0362690669356,128.0313137003707,128.52976763658,134848000
2013-06-27,129.50254821777344,130.09748611180456,129.3980289514859,129.5186309358606,129483700
